Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),I error ,RZ error,SX error,X error,ECR error ,Gate time (ns),Operational,measure time (ns),x time (ns),rz time (ns),i time (ns),sx time (ns),reset time (ns)
27,166.51331285793248,216.8483552343245,5.052700437249369,-0.3058824603800633,0.0312999999999999,0.031,0.0316,4000,0.0002409418498889,0,0.0002409418498889,0.0002409418498889,27_28:0.012341944576732322;27_26:0.004218577066140705,27_28:660;27_26:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
28,193.1307503533746,156.80638805927055,4.929103797545405,-0.3083409778897531,0.018,0.024,0.012,4000,0.0010603301317104,0,0.0010603301317104,0.0010603301317104,28_35:0.012197126701810418;28_29:0.04177875139964371,28_35:660;28_29:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
29,112.31583531971016,155.7251904202207,5.071361488272545,-0.3055087423487186,0.0124999999999999,0.0126,0.0123999999999999,4000,0.000234390221738,0,0.000234390221738,0.000234390221738,,,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
30,169.70982040931565,66.12148135222341,5.0215057961059495,-0.3062517153077745,0.0372,0.0432,0.0312,4000,0.0008121252730374,0,0.0008121252730374,0.0008121252730374,30_31:0.0142968938613387;30_29:0.012420452080534494,30_31:660;30_29:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
31,228.4981379680114,91.34024826160146,5.096820162017362,-0.3059158128818965,0.01,0.0102,0.0098,4000,0.0002206346995781,0,0.0002206346995781,0.0002206346995781,,,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
32,186.78411613905067,163.05644557443208,5.25307871668938,-0.3021024582813358,0.0178,0.0183999999999999,0.0172,4000,0.0005610102736985,0,0.0005610102736985,0.0005610102736985,32_31:0.01785015888835667;32_36:0.008062129148142833,32_31:660;32_36:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
33,246.7653564959693,194.95360487077832,4.913071715609942,-0.3083206712414336,0.0246999999999999,0.0223999999999999,0.027,4000,0.0003035921784925,0,0.0003035921784925,0.0003035921784925,33_39:0.009588284846857392,33_39:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
34,161.44722386813322,130.6757952065175,4.935360772697073,-0.3081468491485319,0.0944,0.0674,0.1214,4000,0.0002460767199024,0,0.0002460767199024,0.0002460767199024,34_24:0.005870395445543991;34_43:1,34_24:660;34_43:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
35,110.53118130365594,62.29828433377388,4.816400068268222,-0.3106460390864426,0.0104999999999999,0.0096,0.0114,4000,0.0002617039752927,0,0.0002617039752927,0.0002617039752927,,,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
36,154.25293132890505,146.79352241475962,5.134389599821312,-0.3042399290688238,0.0092999999999999,0.0102,0.0083999999999999,4000,0.0001710167434113,0,0.0001710167434113,0.0001710167434113,36_51:0.004870805626152858,36_51:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
