Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),I error ,RZ error,SX error,X error,CZ error ,Gate time (ns),Operational,sx time (ns),measure time (ns),rz time (ns),x time (ns),i time (ns),reset time (ns)
45,291.5956542491727,221.9461192189073,0,0,0.0201,0.0262,0.014,1560,0.0002199213783401,0,0.0002199213783401,0.0002199213783401,45_46:0.0030550595250146972;45_44:0.0026479298188100964;45_37:0.0018202878400503386,45_46:68;45_44:68;45_37:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
46,153.2274255090944,15.115780639132591,0,0,0.028,0.0298,0.0262,1560,0.0004556758202408,0,0.0004556758202408,0.0004556758202408,46_45:0.0030550595250146972;46_47:0.0030471647453936546,46_45:68;46_47:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
47,196.5842124345753,69.37160197060318,0,0,0.034,0.0332,0.0348,1560,0.0002292552011598,0,0.0002292552011598,0.0002292552011598,47_57:0.002901898548954923;47_48:0.0020307202050058037;47_46:0.0030471647453936546,47_57:68;47_48:68;47_46:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
48,39.82645512442448,14.509191393049065,0,0,0.0075,0.0084,0.0066,1560,0.0003495682899365,0,0.0003495682899365,0.0003495682899365,48_49:0.002502699679275938;48_47:0.0020307202050058037,48_49:68;48_47:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
49,40.19825444175253,19.882513560754862,0,0,0.0353,0.0368,0.0338,1560,0.000460035512897,0,0.000460035512897,0.000460035512897,49_50:0.003511887606845343;49_48:0.002502699679275938;49_38:0.0028348031526538586,49_50:68;49_48:68;49_38:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
50,132.2879585184384,148.60576040732894,0,0,0.0524999999999999,0.0576,0.0474,1560,0.0001878361742887,0,0.0001878361742887,0.0001878361742887,50_51:0.0017962446741670024;50_49:0.003511887606845343,50_51:68;50_49:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
51,218.6395645131144,126.96042018987092,0,0,0.0552999999999999,0.0718,0.0387999999999999,1560,0.0002543401689555,0,0.0002543401689555,0.0002543401689555,51_50:0.0017962446741670024;51_58:0.002374130646145556;51_52:0.0027132944070970832,51_50:68;51_58:68;51_52:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
52,126.10721813340028,97.7239592337979,0,0,0.0072999999999999,0.0116,0.003,1560,0.0003237703244428,0,0.0003237703244428,0.0003237703244428,52_53:0.007957394252020744;52_51:0.0027132944070970832,52_53:68;52_51:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
53,169.89928301373277,20.010180218397107,0,0,0.0261,0.0292,0.023,1560,0.0002746899235225,0,0.0002746899235225,0.0002746899235225,53_54:0.008726877553907386;53_52:0.007957394252020744;53_39:0.003155339734013912,53_54:68;53_52:68;53_39:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
54,92.78515649512956,134.69460118291698,0,0,0.0634,0.0682,0.0586,1560,0.0009793973448004,0,0.0009793973448004,0.0009793973448004,54_55:0.003078180789459206;54_53:0.008726877553907386,54_55:68;54_53:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
